recency,topic_rank,diversity,authors_mean_rank,authors_mean_hindex,authors_mean_gindex,authors_mean_sociality,authors_mean_pagerank,authors_mean_productivity,journal_pagerank,journal_rank,title_len,abstract_len,n_authors,c5,log_authors_mean_sociality
5,10.0,-0.13592724786898777,273.0,1.0,1.0,2.0,,,,122.0,95,2065,3,39.0,1.0986122886681096
15,9.0,-0.11467368997297633,547.0,1.0,1.0,3.0,,,,114.0,77,1444,4,2.0,1.3862943611198906
7,3.0,-1.2505830730048562,341.0,1.0,1.0,4.0,,,,56.0,121,1811,5,29.0,1.6094379124341003
23,10.0,-0.15006569734864503,22.0,1.0,1.0,1.0,,,,6.0,137,935,2,2.0,0.6931471805599453
25,6.0,-1.7018513080138322,315.0,1.0,1.0,3.0,,,,75.0,110,0,4,1.0,1.3862943611198906
16,12.0,-1.2474853214452788,867.0,1.0,1.0,0.0,,,,186.0,117,0,1,2.0,0.0
20,13.0,-0.11321415722808323,492.0,1.0,1.0,0.0,,,,114.0,43,1898,1,1.0,0.0
5,15.0,-0.878694922954338,755.0,1.0,1.0,4.0,,,,122.0,129,2626,5,14.0,1.6094379124341003
14,6.0,-0.1905178283379581,147.0,1.0,1.0,4.0,,,,30.0,99,1341,5,9.0,1.6094379124341003
21,17.0,-0.12434528563519191,251.0,1.0,1.0,4.0,,,,55.0,82,1666,5,3.0,1.6094379124341003
19,14.0,-0.10400236868127039,290.0,1.0,1.0,2.0,,,,60.0,118,1964,3,1.0,1.0986122886681096
12,16.0,-0.4998164815962822,523.0,1.0,1.0,0.0,,,,133.0,91,436,1,13.0,0.0
21,5.0,-0.6855180065269098,279.0,1.0,1.0,5.0,,,,62.0,176,1730,6,4.0,1.791759469228055
7,6.0,-1.3206277529544532,1451.0,1.0,1.0,6.0,,,,265.0,188,1892,7,2.0,1.9459101490553132
19,1.0,-0.12434528586629037,140.0,1.0,1.0,2.0,,,,32.0,130,1331,3,1.0,1.0986122886681096
13,6.0,-0.15006569991652613,918.0,1.0,1.0,2.0,,,,110.0,96,1108,3,4.0,1.0986122886681096
8,4.0,-1.2011029104293751,1662.0,1.0,1.0,5.0,,,,326.0,128,1188,6,1.0,1.791759469228055
10,6.0,-0.7642565887930737,1428.0,1.0,1.0,4.0,,,,298.0,115,1944,5,0.0,1.6094379124341003
21,2.0,-0.4000704064912762,145.0,1.0,1.0,3.0,,,,32.0,101,562,4,1.0,1.3862943611198906
16,14.0,-1.2304095474404468,303.0,1.0,1.0,0.0,,,,60.0,88,978,1,0.0,0.0
11,11.0,-0.43836344976460545,1367.0,1.0,1.0,4.0,,,,291.0,80,746,5,1.0,1.6094379124341003
23,1.0,-0.1064686941461133,3.0,1.0,1.0,5.0,,,,2.0,90,1446,6,5.0,1.791759469228055
11,7.0,-1.6945521122804679,624.0,1.0,1.0,2.0,,,,113.0,154,1344,3,2.0,1.0986122886681096
23,5.0,-0.0823912814251518,1.0,1.0,1.0,1.0,,,,1.0,158,1766,2,7.0,0.6931471805599453
7,12.0,-0.08388921501797861,1662.0,1.0,1.0,6.0,,,,316.0,168,1991,7,2.0,1.9459101490553132
17,7.0,-0.14262561560235465,599.0,1.0,1.0,0.0,,,,127.0,82,1586,1,0.0,0.0
8,2.0,-0.1040023698401991,630.0,1.0,1.0,3.0,,,,,65,1791,4,7.0,1.3862943611198906
21,6.0,-1.6992451916046016,251.0,1.0,1.0,0.0,,,,55.0,56,0,1,1.0,0.0
22,1.0,-0.17437265738062804,288.0,1.0,1.0,1.0,,,,64.0,89,2377,2,0.0,0.6931471805599453
18,2.0,-0.8603898776232118,346.0,1.0,1.0,2.0,,,,72.0,87,1010,3,2.0,1.0986122886681096
16,9.0,-0.5872513429823536,47.0,1.0,1.0,4.0,,,,24.0,62,1447,5,17.0,1.6094379124341003
21,17.0,-1.5567369888957552,279.0,1.0,1.0,3.0,,,,62.0,99,0,4,1.0,1.3862943611198906
6,12.0,-1.7582811290641058,1250.0,1.0,1.0,7.0,,,,215.0,55,690,8,6.0,2.0794415416798357
13,12.0,-0.20978208326840644,101.0,1.0,1.0,11.0,,,,21.0,94,853,12,25.0,2.4849066497880004
16,16.0,-0.19051782580006332,755.0,1.0,1.0,4.0,,,,163.0,97,1301,5,2.0,1.6094379124341003
13,11.0,-0.08388921549877626,169.0,1.0,1.0,1.0,,,,32.0,62,2225,2,11.0,0.6931471805599453
13,3.0,-0.9159062963818506,769.0,1.0,1.0,3.0,,,,151.0,113,1708,4,3.0,1.3862943611198906
10,16.0,-0.9278548809561522,837.0,1.0,1.0,0.0,,,,150.0,71,298,1,4.0,0.0
9,14.0,-0.07107815110330987,333.0,1.0,1.0,5.0,,,,,117,2387,6,19.0,1.791759469228055
11,18.0,-0.8330984784842201,224.0,1.0,1.0,6.0,,,,52.0,90,923,7,16.0,1.9459101490553132
13,10.0,-0.6030306237648905,640.0,1.0,1.0,8.0,,,,118.0,191,1791,9,6.0,2.1972245773362196
8,16.0,-0.7967091721181657,1662.0,1.0,1.0,2.0,,,,326.0,87,0,3,0.0,1.0986122886681096
8,14.0,-0.689898333196714,752.0,1.0,1.0,3.0,,,,123.0,100,991,4,10.0,1.3862943611198906
9,9.0,-1.1418236035826623,729.0,1.0,1.0,4.0,,,,126.0,98,1225,5,10.0,1.6094379124341003
22,13.0,-0.516929865621674,250.0,1.0,1.0,6.0,,,,57.0,86,2188,7,1.0,1.9459101490553132
25,11.0,-0.1132141571888096,440.0,1.0,1.0,2.0,,,,107.0,48,1658,3,0.0,1.0986122886681096
23,11.0,-0.11771587360606217,336.0,1.0,1.0,7.0,,,,74.0,155,1494,8,1.0,2.0794415416798357
14,3.0,-0.12986299355462094,454.0,1.0,1.0,2.0,,,,86.0,107,1240,3,3.0,1.0986122886681096
11,1.0,-0.8055959882198999,1367.0,1.0,1.0,4.0,,,,291.0,74,1206,5,0.0,1.6094379124341003
14,12.0,-0.5309943753316878,161.0,1.0,1.0,1.0,,,,34.0,91,1909,2,6.0,0.6931471805599453
7,6.0,-0.8553813474920442,1662.0,1.0,1.0,1.0,,,,316.0,42,785,2,2.0,0.6931471805599453
10,5.0,-0.9520787963470452,1336.0,1.0,1.0,15.0,,,,273.0,121,1705,16,1.0,2.772588722239781
15,13.0,-0.7811830350308797,590.0,1.0,1.0,4.0,,,,112.0,85,1279,5,2.0,1.6094379124341003
12,18.0,-1.0643570057311165,1063.0,1.0,1.0,2.0,,,,221.0,78,1134,3,1.0,1.0986122886681096
9,11.0,-0.7881583007743778,1244.0,1.0,1.0,2.0,,,,81.0,78,1266,3,1.0,1.0986122886681096
22,19.0,-0.13592724805487197,13.0,1.0,1.0,2.0,,,,4.0,61,1452,3,2.0,1.0986122886681096
25,3.0,-1.6796338155747945,402.0,1.0,1.0,3.0,,,,93.0,47,0,4,0.0,1.3862943611198906
10,8.0,-0.18222523865141924,1428.0,1.0,1.0,2.0,,,,298.0,56,1249,3,1.0,1.0986122886681096
11,2.0,-0.15273276974833544,1100.0,1.0,1.0,2.0,,,,221.0,140,1467,3,1.0,1.0986122886681096
10,7.0,-0.14262561481724462,607.0,1.0,1.0,8.0,,,,,99,1169,9,11.0,2.1972245773362196
9,3.0,-0.7665022479953053,729.0,1.0,1.0,7.0,,,,126.0,96,1759,8,6.0,2.0794415416798357
21,4.0,-0.12796687165215234,35.0,1.0,1.0,3.0,,,,10.0,98,1404,4,4.0,1.3862943611198906
5,5.0,-0.40007040864459775,1775.0,1.0,1.0,0.0,,,,7.0,76,344,1,3.0,0.0
17,12.0,-0.16137558869364452,175.0,1.0,1.0,2.0,,,,37.0,104,820,3,6.0,1.0986122886681096
16,2.0,-1.2358180874686162,412.0,1.0,1.0,8.0,,,,78.0,145,1679,9,5.0,2.1972245773362196
19,18.0,-0.6849445222779008,517.0,1.0,1.0,4.0,,,,115.0,66,2333,5,0.0,1.6094379124341003
19,13.0,-0.2734237861898355,474.0,1.0,1.0,3.0,,,,104.0,117,618,4,0.0,1.3862943611198906
12,3.0,-0.16449280048125764,1267.0,1.0,1.0,3.0,,,,273.0,80,929,4,0.0,1.3862943611198906
8,4.0,-0.7296861819502758,295.0,1.0,1.0,13.0,,,,142.0,95,1522,14,22.0,2.639057329615259
25,1.0,-0.1527327696790448,440.0,1.0,1.0,2.0,,,,107.0,126,828,3,1.0,1.0986122886681096
14,5.0,-0.9261153804007574,114.0,1.0,1.0,3.0,,,,21.0,66,1860,4,13.0,1.3862943611198906
13,15.0,-0.10774895496905308,34.0,1.0,1.0,3.0,,,,10.0,79,1816,4,9.0,1.3862943611198906
6,14.0,-1.0381597428749574,1550.0,1.0,1.0,6.0,,,,274.0,80,1011,7,4.0,1.9459101490553132
10,3.0,-1.1663451280187822,866.0,1.0,1.0,1.0,,,,163.0,112,1157,2,5.0,0.6931471805599453
16,6.0,-0.07567499316272844,224.0,1.0,1.0,6.0,,,,,112,2128,7,7.0,1.9459101490553132
14,8.0,-0.8376259701036589,295.0,1.0,1.0,1.0,,,,58.0,37,984,2,7.0,0.6931471805599453
13,12.0,-1.0880335971704007,302.0,1.0,1.0,4.0,,,,110.0,55,376,5,7.0,1.6094379124341003
17,9.0,-0.17835968492995552,215.0,1.0,1.0,4.0,,,,45.0,74,1467,5,6.0,1.6094379124341003
22,11.0,-0.08624743578125085,54.0,1.0,1.0,3.0,,,,15.0,42,2250,4,0.0,1.3862943611198906
11,10.0,-0.10522023017898052,200.0,1.0,1.0,1.0,,,,35.0,83,1418,2,16.0,0.6931471805599453
18,10.0,-0.14031619719668065,100.11111111111111,1.1111111111111112,1.1111111111111112,7.611111111111111,,,,38.0,119,1714,9,4.0,2.153053359023082
9,19.0,-1.4450444515543681,914.0,1.0,1.0,5.0,,,,159.0,180,1614,6,5.0,1.791759469228055
7,14.0,-0.09050631389698979,1059.0,1.0,1.0,1.0,,,,,96,1640,2,9.0,0.6931471805599453
8,18.0,-0.1500656983804597,508.0,1.0,1.0,2.0,,,,151.0,119,1967,3,16.0,1.0986122886681096
7,10.0,-0.7629034314843778,1174.0,1.0,1.0,8.0,,,,151.0,114,1587,9,7.0,2.1972245773362196
11,12.0,-0.21526728979630202,236.0,1.0,1.0,0.0,,,,73.0,72,557,1,19.0,0.0
15,8.0,-0.7874906182218444,934.0,1.0,1.0,2.0,,,,204.0,68,1398,3,0.0,1.0986122886681096
7,20.0,-0.1711282218755134,1303.0,1.0,1.0,6.0,,,,235.0,120,1466,7,6.0,1.9459101490553132
10,12.0,-1.2535416837591717,919.0,1.0,1.0,2.0,,,,176.0,35,676,3,2.0,1.0986122886681096
15,14.0,-0.22106723896807393,131.0,1.0,1.0,2.0,,,,30.0,86,895,3,16.0,1.0986122886681096
19,10.0,-0.38002620952857064,710.0,1.0,1.0,9.0,,,,167.0,279,433,10,1.0,2.302585092994046
25,9.0,-2.090505175436192,315.0,1.0,1.0,3.0,,,,106.0,16,0,4,0.0,1.3862943611198906
15,17.0,-0.4602608573280276,525.0,1.0,1.0,2.0,,,,105.0,104,2594,3,2.0,1.0986122886681096
15,10.0,-0.2272105182919745,138.0,1.0,1.0,3.0,,,,32.0,35,939,4,5.0,1.3862943611198906
11,10.0,-0.12986299453943148,6.0,1.0,1.0,0.0,,,,4.0,62,1053,1,113.0,0.0
6,20.0,-1.048126454715314,1628.0,1.0,1.0,3.0,,,,295.0,104,1709,4,2.0,1.3862943611198906
8,14.0,-1.0879651696570949,861.0,1.0,1.0,4.0,,,,143.0,71,1542,5,10.0,1.6094379124341003
20,12.0,-0.1783596849364241,314.0,1.0,1.0,0.0,,,,70.0,124,789,1,2.0,0.0
18,8.0,-1.241526444949415,365.0,1.0,1.0,3.0,,,,79.0,154,2943,4,1.0,1.3862943611198906
14,16.0,-0.17466442673709237,654.0,1.0,1.0,2.0,,,,133.0,117,1106,3,0.0,1.0986122886681096
14,2.0,-0.7270612225377049,50.0,1.0,1.0,6.0,,,,13.0,118,1456,7,19.0,1.9459101490553132
15,1.0,-0.17466442860803563,1000.0,1.0,1.0,7.0,,,,228.0,147,1114,8,1.0,2.0794415416798357
23,1.0,-0.11321415747476869,9.0,1.0,1.0,8.0,,,,3.0,160,1728,9,8.0,2.1972245773362196
19,11.0,-0.17835968565151866,177.0,1.0,1.0,9.0,,,,39.0,50,1879,10,2.0,2.302585092994046
7,16.0,-2.0905051757014617,1775.0,1.0,1.0,4.0,,,,344.0,62,0,5,1.0,1.6094379124341003
8,2.0,-1.4568117493132762,295.0,1.0,1.0,0.0,,,,48.0,90,991,1,23.0,0.0
6,7.0,-1.2359036996203185,1014.0,1.0,1.0,7.0,,,,164.0,143,969,8,10.0,2.0794415416798357
13,11.0,-0.11617368119383206,54.0,1.0,1.0,2.0,,,,13.0,100,1662,3,17.0,1.0986122886681096
20,17.0,-0.6358191262904643,492.0,1.0,1.0,7.0,,,,114.0,83,1432,8,2.0,2.0794415416798357
20,14.0,-0.23372934183610725,492.0,1.0,1.0,2.0,,,,114.0,56,532,3,0.0,1.0986122886681096
17,5.0,-0.10052134404427632,690.0,1.0,1.0,1.0,,,,193.0,111,1357,2,1.0,0.6931471805599453
7,3.0,-0.16449279997453614,1775.0,1.0,1.0,5.0,,,,,93,1389,6,1.0,1.791759469228055
15,16.0,-0.30507376848675133,770.0,1.0,1.0,2.0,,,,165.0,122,472,3,1.0,1.0986122886681096
5,8.0,-0.38658899848414946,902.0,1.0,1.0,5.0,,,,223.0,100,1665,6,14.0,1.791759469228055
6,19.0,-0.14262561430889364,1776.0,1.0,1.0,4.0,,,,,114,1112,5,2.0,1.6094379124341003
9,11.0,-1.4228636999642732,823.0,1.0,1.0,5.0,,,,143.0,100,1235,6,7.0,1.791759469228055
13,13.0,-0.12612852011817025,1023.0,1.0,1.0,3.0,,,,215.0,108,1427,4,0.0,1.3862943611198906
23,6.0,-0.13181971672489026,98.0,1.0,1.0,7.0,,,,24.0,105,1372,8,7.0,2.0794415416798357
8,2.0,-1.102703681615624,1002.0,1.0,1.0,4.0,,,,170.0,145,1839,5,1.0,1.6094379124341003
5,10.0,-0.2097820827240262,2009.6666666666667,1.0,1.1666666666666667,5.166666666666667,,,,375.0,111,779,6,1.0,1.8191584434161694
